Model,Method,lr0,lrf,momentum,weight_decay,mosaic,box
YOLOV8N,PSO,0.017141,0.005,0.874706,0.004782,0.827316,5.845232
YOLOV8N,GWO,0.025,0.03435,0.98,0.00495,1.0,6.600953
YOLOV8N,WOA,0.015304,0.024853,0.98,0.007148,1.0,10.0
YOLOV8N,ACO,0.019965,0.030939,0.875786,0.006897,0.784736,5.935554
YOLOV9T,PSO,0.012168,0.022708,0.9764,0.004158,0.700276,8.253073
YOLOV9T,GWO,0.010302,0.019647,0.85,0.006015,0.821229,5.0
YOLOV9T,WOA,0.020893,0.028054,0.941635,0.008778,0.871208,5.625018
YOLOV9T,ACO,0.016064,0.027705,0.960167,0.007523,0.718763,5.752039
YOLOV10N,PSO,0.011695,0.045794,0.917004,0.005063,0.867366,5.341147
YOLOV10N,GWO,0.008937,0.026615,0.98,0.003228,0.950787,7.134702
YOLOV10N,WOA,0.023953,0.016474,0.865141,0.002182,0.816539,5.366466
YOLOV10N,ACO,0.005928,0.028888,0.946013,0.001901,0.943575,9.409912
YOLO11N,PSO,0.008447,0.010714,0.927727,0.004475,0.7,5.687435
YOLO11N,GWO,0.013362,0.03875,0.98,0.008384,0.885896,8.958174
YOLO11N,WOA,0.009129,0.009129,0.98,0.000183,1.0,9.128742
YOLO11N,ACO,0.005346,0.005313,0.877194,0.0001,0.888903,5.52518
YOLO26N,PSO,0.01216,0.045093,0.915879,0.005676,0.718725,10.0
YOLO26N,GWO,0.025,0.05,0.85,0.003949,0.999123,5.0
YOLO26N,WOA,0.014203,0.029729,0.977949,0.003306,0.967982,9.843047
YOLO26N,ACO,0.014836,0.005,0.958192,0.001816,0.705693,5.404981
RTDETR-L,PSO,0.012746,0.008343,0.926024,0.000719,0.0,7.328206
RTDETR-L,GWO,0.010444,0.032397,0.85,0.004759,0.0,6.351769
RTDETR-L,WOA,0.015524,0.047853,0.850841,0.005813,0.0,6.891485
RTDETR-L,ACO,0.009868,0.029987,0.882125,0.003737,0.0,5.500729
