Model,Method,Baseline_mAP50,HPO_mAP50,Delta,Delta_Pct
YOLOV8N,PSO,0.8962,0.8937,-0.0025,-0.27
YOLOV8N,GWO,0.8962,0.8906,-0.0056,-0.63
YOLOV8N,WOA,0.8962,0.8831,-0.0131,-1.46
YOLOV8N,ACO,0.8962,0.8929,-0.0033,-0.37
YOLOV9T,PSO,0.889,0.8938,0.0048,0.55
YOLOV9T,GWO,0.889,0.8964,0.0074,0.83
YOLOV9T,WOA,0.889,0.8971,0.0081,0.91
YOLOV9T,ACO,0.889,0.9038,0.0148,1.66
YOLOV10N,PSO,0.8248,0.8546,0.0298,3.62
YOLOV10N,GWO,0.8248,0.8437,0.0189,2.29
YOLOV10N,WOA,0.8248,0.8468,0.022,2.67
YOLOV10N,ACO,0.8248,0.8566,0.0318,3.85
YOLO11N,PSO,0.8816,0.8848,0.0032,0.37
YOLO11N,GWO,0.8816,0.8818,0.0002,0.02
YOLO11N,WOA,0.8816,0.8863,0.0047,0.53
YOLO11N,ACO,0.8816,0.8914,0.0098,1.11
YOLO26N,PSO,0.8738,0.8661,-0.0077,-0.88
YOLO26N,GWO,0.8738,0.8767,0.0029,0.33
YOLO26N,WOA,0.8738,0.8699,-0.0038,-0.44
YOLO26N,ACO,0.8738,0.8576,-0.0161,-1.85
RTDETR-L,PSO,0.883,0.8905,0.0075,0.85
RTDETR-L,GWO,0.883,0.871,-0.012,-1.36
RTDETR-L,WOA,0.883,0.8676,-0.0154,-1.74
RTDETR-L,ACO,0.883,0.8305,-0.0525,-5.94
